# No.	Zi	Source	IDC	Component A	Component B, or
# No.	Zi	Source	Single	IDC	Component.
# See `docs/lintelstat.py` for more details.
71668	𪱈	T	⿱	晶	日
71669	𪱉	T	⿰	日	萊
71670	𪱊	V	⿰	星	何
71671	𪱋	TK	⿰	日	善
71672	𪱌	T	⿰	日	勞
71673	𪱍	T	⿰	日	意
71674	𪱎	V	⿰	星	俞
71675	𪱏	T	⿰	日	夐
71675	𪱏	Z	⿰	日	敻
71676	𪱐	V	⿰	音	省
71678	𪱒	T	⿰	日	襄
71679	𪱓	K	⿰	日	燮
71681	𪱕	V	⿰	最	？
71683	𪱗	T	⿰	曾	今
71684	𪱘	V	⿱	曲	腰
71685	𪱙	G	⿰	月	又
71686	𪱚	V	⿰	月	上
71687	𪱛	G	⿸	尹	⺝
71688	𪱜	V	⿰	台	月
71689	𪱝	GU	⿱	氶	⺝
71691	𪱟	V	⿱	班	⺝
71693	𪱡	V	⿰	月	佘
71694	𪱢	G	⿰	月	𠛢
71695	𪱣	G	⿰	月	罔
71696	𪱤	J	⿰	有	我
71697	𪱥	G	⿰	月	贲
71698	𪱦	G	⿰	月	皇
71698	𪱦	T	⿰	⺼	皇
71699	𪱧	T	⿰	月	亮
71700	𪱨	Z	⿰	月	竜
71701	𪱩	GJ	⿰	月	离
71701	𪱩	T	⿰	⺼	离
71703	𪱫	G	⿱	𫧉	⺝
71704	𪱬	V	⿰	月	淫
71705	𪱭	G	⿰	月	𬡗
71706	𪱮	Z	⿰	望	貢
71707	𪱯	Z	⿰	望	竜
71708	𪱰	T	⿰	有	𢋨
71709	𪱱	J	⿱	木	下
71710	𪱲	TJ	⿰	木	上
71711	𪱳	GJ	⿰	木	口
71712	𪱴	TV	⿰	木	女
71713	𪱵	T	⿱	巛	木
71714	𪱶	J	⿴	井	木
71715	𪱷	G	⿰	木	贝
71716	𪱸	T	⿰	木	仒
71717	𪱹	GTJ	⿰	木	水
71718	𪱺	T	⿰	木	左
71719	𪱻	TJ	⿰	木	本
71720	𪱼	T	⿰	未	今
71721	𪱽	T	⿰	木	用
71722	𪱾	T	⿰	木	尔
71722	𪱾	Z	⿰	木	尓
71724	𪲀	G	⿰	木	丘
71727	𪲃	T	⿰	木	弎
71728	𪲄	TK	⿰	木	灰
71729	𪲅	T	⿰	未	平
71731	𪲇	TJV	⿰	木	曲
71733	𪲉	GT	⿰	木	后
71734	𪲊	T	⿰	木	𠘻
71735	𪲋	G	⿰	木	𡕖
71737	𪲍	V	⿰	木	𱜢
71738	𪲎	G	⿰	木	齐
71740	𪲐	T	⿰	木	𨚌
71742	𪲒	J	⿰	木	赤
71743	𪲓	J	⿱	木	豆
71744	𪲔	G	⿰	木	丽
71745	𪲕	T	⿱	朿	令
71746	𪲖	TJ	⿰	木	呆
71747	𪲗	T	⿰	木	𡇂
71748	𪲘	T	⿰	木	我
71749	𪲙	T	⿰	木	𡉼
71750	𪲚	T	⿰	木	㳉
71752	𪲜	T	⿱	冷	木
71753	𪲝	V	⿰	木	床
71754	𪲞	G	⿰	木	羌
71755	𪲟	T	⿰	木	幸
71757	𪲡	T	⿱	林	云
71758	𪲢	J	⿰	木	祀
71759	𪲣	V	⿰	某	？
71760	𪲤	T	⿰	木	𡶟
71761	𪲥	T	⿱	束	令
71764	𪲨	GJ	⿰	木	忽
71766	𪲪	T	⿱	㐭	木
71767	𪲫	T	⿱	𪟄	木
71768	𪲬	J	⿰	市	来
71769	𪲭	V	⿰	朮	阮
71769	𪲭	Z	⿰	术	阮
71770	𪲮	G	⿰	木	废
71771	𪲯	T	⿰	木	𬎾
71772	𪲰	K	⿰	木	奐
71772	𪲰	Z	⿰	木	奂
71773	𪲱	K	⿰	木	奕
71775	𪲳	J	⿱	柿	木
71777	𪲵	G	⿱	林	出
71778	𪲶	K	⿰	木	耉
71779	𪲷	T	⿰	木	䍒
71780	𪲸	T	⿰	朿	束
71781	𪲹	G	⿱	临	木
71782	𪲺	K	⿰	木	昴
71783	𪲻	T	⿰	木	拜
71784	𪲼	J	⿰	木	信
71785	𪲽	V	⿰	杀	折
71786	𪲾	V	⿰	木	𤔄
71787	𪲿	T	⿰	关	束
71788	𪳀	T	⿰	木	音
71789	𪳁	T	⿰	木	度
71790	𪳂	V	⿰	木	首
71792	𪳄	GK	⿰	木	亮
71793	𪳅	G	⿰	木	洛
71794	𪳆	T	⿰	木	勇
71795	𪳇	T	⿰	木	迦
71796	𪳈	T	⿱	王	𣑦
71797	𪳉	J	⿰	木	𢙣
71799	𪳋	V	⿰	朽	念
71800	𪳌	V	⿱	杜	助
71801	𪳍	G	⿰	木	聂
71802	𪳎	K	⿱	耿	木
71804	𪳐	GT	⿱	䀠	木
71805	𪳑	T	⿰	木	㫧
71806	𪳒	J	⿰	木	晁
71807	𪳓	J	⿱	啄	木
71808	𪳔	V	⿱	朱	侖
71809	𪳕	T	⿰	木	乘
71810	𪳖	TJ	⿰	木	逄
71811	𪳗	G	⿰	木	爱
71813	𪳙	T	⿱	准	木
71815	𪳛	T	⿰	木	書
71816	𪳜	K	⿰	木	烝
71818	𪳞	TV	⿰	木	教
71819	𪳟	T	⿱	林	免
71820	𪳠	T	⿰	木	𤽤
71823	𪳣	K	⿰	木	卨
71824	𪳤	TJ	⿰	木	造
71825	𪳥	T	⿰	木	亀
71826	𪳦	T	⿰	𠂤	𣐩
71827	𪳧	J	⿰	木	𩇫
71828	𪳨	V	⿰	罕	果
71829	𪳩	T	⿰	木	𣁐
71830	𪳪	K	⿰	木	婆
71831	𪳫	V	⿰	桑	由
71832	𪳬	G	⿰	木	屚
71833	𪳭	T	⿱	㚘	東
71834	𪳮	T	⿰	木	壹
71835	𪳯	G	⿱	林	坣
71836	𪳰	T	⿰	木	菓
71838	𪳲	T	⿰	木	智
71839	𪳳	J	⿰	木	臰
71840	𪳴	V	⿰	机	罢
71841	𪳵	K	⿰	木	爲
71841	𪳵	Z	⿰	木	為
71842	𪳶	T	⿰	木	寒
71843	𪳷	G	⿱	湯	木
71845	𪳹	K	⿰	木	隊
71846	𪳺	J	⿰	木	賀
71847	𪳻	K	⿰	杼	林
71848	𪳼	V	⿱	渚	未
71849	𪳽	T	⿱	林	厙
71850	𪳾	TK	⿰	木	載
71851	𪳿	T	⿰	果	度
71852	𪴀	TJ	⿰	木	豊
71853	𪴁	V	⿰	木	跳
71854	𪴂	K	⿰	木	㬅
71855	𪴃	T	⿰	木	奧
71855	𪴃	Z	⿰	木	奥
71856	𪴄	V	⿱	朱	都
71857	𪴅	Z	⿰	木	筆
71858	𪴆	TJ	⿰	木	慈
71859	𪴇	J	⿰	木	廌
71860	𪴈	T	⿱	楙	木
71863	𪴋	T	⿰	杏	區
71864	𪴌	T	⿰	木	管
71865	𪴍	T	⿱	熇	木
71866	𪴎	J	⿰	木	實
71867	𪴏	V	⿰	李	曼
71869	𪴑	K	⿰	木	奭
71872	𪴔	T	⿰	木	寮
71873	𪴕	GJ	⿰	木	層
71874	𪴖	T	⿰	木	霖
71875	𪴗	T	⿰	木	冀
71876	𪴘	K	⿰	木	曇
71877	𪴙	G	⿰	木	赞
71878	𪴚	K	⿰	木	勲
71879	𪴛	T	⿰	木	隸
71880	𪴜	J	⿰	木	霜
71881	𪴝	T	⿰	櫓	刂
71882	𪴞	V	⿰	楽	明
71887	𪴣	T	⿰	木	𩔜
71888	𪴤	TK	⿰	木	覺
71889	𪴥	J	⿰	木	寶
71891	𪴧	T	⿰	木	籣
71892	𪴨	G	⿰	業	業
71893	𪴩	G	⿰	方	欠
71894	𪴪	G	⿰	厈	欠
71895	𪴫	G	⿰	𡰥	欠
71898	𪴮	T	⿰	昔	欠
71899	𪴯	T	⿰	显	欠
71900	𪴰	T	⿰	若	欠
71901	𪴱	T	⿰	翁	欠
71905	𪴵	G	⿱	勿	止
71906	𪴶	G	⿱	止	亘
71907	𪴷	T	⿰	止	甬
71908	𪴸	G	⿰	𫭠	必
71909	𪴹	V	⿱	正	法
71910	𪴺	K	⿰	來	正
71911	𪴻	V	⿰	歪	召
71912	𪴼	T	⿱	止	𮍏
71913	𪴽	V	⿰	歪	妙
71914	𪴾	V	⿰	詈	止
71915	𪴿	G	⿱	與	止
71916	𪵀	K	⿰	歹	包
71917	𪵁	G	⿰	歹	𠬢
71918	𪵂	K	⿰	歹	㐫
71919	𪵃	K	⿰	歹	𡿪
71920	𪵄	T	⿰	歹	見
71921	𪵅	TV	⿰	歹	侖
71922	𪵆	T	⿰	歹	真
71923	𪵇	G	⿰	歹	赖
71924	𪵈	T	⿰	夸	殳
71926	𪵊	T	⿰	𠤕	攵
71927	𪵋	T	⿰	孝	殳
71928	𪵌	V	⿰	殳	侈
71929	𪵍	G	⿰	命	殳
71931	𪵏	T	⿰	彥	殳
71931	𪵏	Z	⿰	彦	殳
71932	𪵐	K	⿰	旉	殳
71933	𪵑	G	⿱	殸	乔
71934	𪵒	K	⿰	萬	殳
71936	𪵔	T	⿰	每	京
71937	𪵕	T	⿰	比	島
71938	𪵖	G	⿺	毛	乙
71939	𪵗	T	⿱	毛	月
71940	𪵘	T	⿺	毛	火
71941	𪵙	T	⿺	毛	句
71942	𪵚	V	⿺	毛	玄
71943	𪵛	T	⿺	毛	耒
71944	𪵜	T	⿺	毛	关
71945	𪵝	T	⿱	林	毛
71946	𪵞	T	⿺	毛	隶
71947	𪵟	V	⿺	毛	眉
71948	𪵠	V	⿺	毛	納
71949	𪵡	J	⿺	毛	鹿
71950	𪵢	T	⿺	毛	賓
71951	𪵣	G	⿰	云	气
71952	𪵤	V	⿹	气	可
71953	𪵥	M	⿹	气	每
71954	𪵦	V	⿰	音	气
71955	𪵧	Z	⿺	气	敖
71956	𪵨	T	⿱	厶	水
71957	𪵩	T	⿰	氵	下
71958	𪵪	T	⿱	大	水
71959	𪵫	G	⿰	氵	弋
71960	𪵬	TV	⿰	氵	凢
71962	𪵮	T	⿱	水	斤
71963	𪵯	V	⿰	氵	𫜵
71964	𪵰	TV	⿰	氵	引
71965	𪵱	G	⿰	氵	厉
71966	𪵲	V	⿰	氵	凹
71967	𪵳	GT	⿰	氵	矢
71969	𪵵	T	⿰	永	月
71970	𪵶	X	⿰	𣲆	力
71972	𪵸	V	⿰	氵	地
71973	𪵹	G	⿰	氵	邛
71976	𪵼	T	⿱	水	色
71977	𪵽	T	⿰	氵	叒
71978	𪵾	T	⿰	氵	杏
71979	𪵿	T	⿰	丁	泉
71980	𪶀	TK	⿰	氵	男
71982	𪶂	T	⿱	水	見
71983	𪶃	K	⿰	氵	别
71983	𪶃	Z	⿰	氵	別
71984	𪶄	G	⿰	氵	时
71985	𪶅	T	⿰	氵	佘
71986	𪶆	T	⿰	氵	狄
71987	𪶇	K	⿰	沃	土
71989	𪶉	J	⿰	氵	穷
71990	𪶊	V	⿰	氵	対
71991	𪶋	T	⿰	氵	妙
71992	𪶌	T	⿰	氵	到
71994	𪶎	V	⿰	氵	招
71995	𪶏	V	⿰	法	？
71996	𪶐	T	⿰	氵	岸
71997	𪶑	T	⿰	氵	㘠
71998	𪶒	G	⿰	氵	罗
71999	𪶓	T	⿰	氵	𪥌
72000	𪶔	T	⿰	氵	佳
72001	𪶕	T	⿰	氵	𱐍
72004	𪶘	T	⿰	氵	耶
72005	𪶙	TK	⿰	氵	奎
72006	𪶚	V	⿰	沬	心
72007	𪶛	V	⿱	相	水
72008	𪶜	G	⿰	氵	拼
72009	𪶝	K	⿰	氵	珆
72011	𪶟	V	⿰	没	失
72012	𪶠	T	⿰	氵	俊
72013	𪶡	T	⿰	氵	𦏾
72014	𪶢	GT	⿰	氵	俆
72015	𪶣	G	⿰	氵	𢍉
72017	𪶥	K	⿰	氵	恒
72018	𪶦	T	⿰	氵	哀
72019	𪶧	T	⿰	氵	孪
72020	𪶨	T	⿰	氵	怒
72021	𪶩	V	⿰	氵	怠
72022	𪶪	T	⿰	氵	配
72023	𪶫	T	⿰	氵	㕍
72024	𪶬	T	⿰	氵	匪
72025	𪶭	V	⿰	氵	烈
72026	𪶮	G	⿰	氵	恶
72027	𪶯	K	⿰	氵	栢
72028	𪶰	K	⿱	髟	水
72029	𪶱	T	⿰	氵	峷
72030	𪶲	T	⿰	氵	茵
72031	𪶳	Z	⿰	氵	𫥎
72033	𪶵	V	⿰	氵	秩
72034	𪶶	T	⿰	氵	座
72036	𪶸	GT	⿰	氵	紊
72037	𪶹	T	⿰	氵	庭
72039	𪶻	G	⿰	氵	𬁼
72040	𪶼	V	⿰	沙	吉
72041	𪶽	T	⿰	氵	桑
72042	𪶾	V	⿰	氵	陋
72043	𪶿	T	⿰	氵	欵
72044	𪷀	T	⿰	浗	斤
72046	𪷂	T	⿱	莫	水
72048	𪷄	TV	⿰	氵	脫
72048	𪷄	Z	⿰	氵	脱
72049	𪷅	T	⿰	氵	𡨼
72050	𪷆	T	⿰	氵	㝠
72051	𪷇	K	⿰	氵	剪
72052	𪷈	T	⿰	氵	貫
72053	𪷉	V	⿰	氵	細
72054	𪷊	K	⿰	氵	翌
72057	𪷍	G	⿰	氵	靓
72059	𪷏	K	⿰	氵	厨
72060	𪷐	T	⿰	氵	雅
72061	𪷑	T	⿰	氵	量
72062	𪷒	T	⿰	氵	萄
72063	𪷓	K	⿰	氵	虜
72064	𪷔	V	⿰	没	侈
72065	𪷕	T	⿰	氵	斐
72066	𪷖	T	⿰	氵	然
72067	𪷗	V	⿰	氵	脾
72068	𪷘	V	⿰	氵	掣
72070	𪷚	G	⿰	氵	窜
72071	𪷛	K	⿰	氵	富
72072	𪷜	Z	⿰	氵	絲
72074	𪷞	V	⿰	氵	𱽷
72075	𪷟	T	⿰	氵	䝉
72076	𪷠	T	⿰	氵	萲
72077	𪷡	V	⿰	浊	吻
72078	𪷢	K	⿰	氵	號
72080	𪷤	GT	⿰	氵	禀
72081	𪷥	V	⿰	泣	夌
72082	𪷦	K	⿰	氵	運
72083	𪷧	TV	⿰	氵	群
72084	𪷨	T	⿰	氵	𢞍
72085	𪷩	V	⿰	氵	𤾓
72086	𪷪	V	⿰	污	貧
72087	𪷫	M	⿰	氵	鿿
72088	𪷬	T	⿰	氵	緊
72089	𪷭	T	⿰	氵	閨
72090	𪷮	V	⿺	洗	舍
72091	𪷯	T	⿰	氵	粽
72092	𪷰	V	⿰	氵	韶
72093	𪷱	G	⿰	氵	赛
72095	𪷳	T	⿰	氵	霈
72096	𪷴	V	⿰	氵	熱
72097	𪷵	T	⿰	氵	蔭
72098	𪷶	V	⿰	溪	令
72099	𪷷	T	⿰	氵	寮
72100	𪷸	T	⿰	氵	慶
72101	𪷹	Z	⿰	竜	河
72102	𪷺	T	⿰	氵	蕙
72103	𪷻	T	⿰	氵	錢
72104	𪷼	TU	⿰	氵	錡
72105	𪷽	G	⿰	氵	赞
72106	𪷾	K	⿰	氵	龜
72107	𪷿	HK	⿰	氵	頴
72108	𪸀	T	⿰	氵	霞
72109	𪸁	V	⿰	渡	坡
72110	𪸂	K	⿰	氵	燮
72111	𪸃	T	⿰	清	氣
72112	𪸄	V	⿰	濫	？
72113	𪸅	G	⿰	氵	䌛
72114	𪸆	K	⿰	氵	鎔
72116	𪸈	T	⿰	氵	疇
72117	𪸉	J	⿰	氵	鯨
72118	𪸊	V	⿰	淨	堯
72119	𪸋	T	⿰	氵	騫
72120	𪸌	K	⿰	氵	闢
72121	𪸍	G	⿱	乙	火
72122	𪸎	T	⿰	火	凢
72123	𪸏	K	⿰	火	乞
72124	𪸐	T	⿰	火	刃
72125	𪸑	TK	⿰	火	元
72126	𪸒	GT	⿰	火	互
72127	𪸓	T	⿱	无	灬
72128	𪸔	TV	⿰	火	止
72129	𪸕	G	⿰	火	气
72131	𪸗	K	⿰	火	允
72132	𪸘	TV	⿰	火	去
72133	𪸙	T	⿰	火	未
72134	𪸚	K	⿰	火	右
72135	𪸛	MK	⿰	火	玉
72136	𪸜	T	⿰	火	囚
72137	𪸝	V	⿰	火	另
72138	𪸞	T	⿰	火	尔
72138	𪸞	Z	⿰	火	尓
72139	𪸟	V	⿰	火	外
72140	𪸠	TK	⿰	火	永
72141	𪸡	TK	⿰	火	弘
72142	𪸢	J	⿰	火	疋
72143	𪸣	T	⿱	早	灬
72144	𪸤	TK	⿰	火	成
72145	𪸥	TK	⿰	火	耳
72146	𪸦	T	⿱	老	灬
72147	𪸧	V	⿰	火	吊
72148	𪸨	K	⿰	火	朶
72149	𪸩	G	⿰	火	军
72150	𪸪	T	⿰	火	羽
72151	𪸫	TJ	⿰	火	更
72152	𪸬	G	⿰	火	戓
72153	𪸭	T	⿰	火	貝
72154	𪸮	T	⿰	火	旲
72155	𪸯	TV	⿰	火	妥
72157	𪸱	T	⿰	火	庒
72158	𪸲	G	⿰	𤆌	召
72159	𪸳	T	⿰	火	招
72160	𪸴	TK	⿰	火	奇
72161	𪸵	TK	⿰	火	武
72162	𪸶	T	⿰	火	戔
72163	𪸷	K	⿰	火	坴
72164	𪸸	TK	⿰	火	典
72165	𪸹	T	⿰	火	䀐
72166	𪸺	G	⿰	火	昂
72167	𪸻	K	⿰	火	旻
72168	𪸼	T	⿰	火	周
72169	𪸽	V	⿰	火	侄
72170	𪸾	K	⿰	火	爭
72170	𪸾	Z	⿰	火	争
72171	𪸿	T	⿱	享	灬
72172	𪹀	G	⿰	灾	𠬤
72173	𪹁	T	⿰	火	孟
72174	𪹂	V	⿰	灵	圣
72175	𪹃	K	⿱	邵	火
72177	𪹅	G	⿰	火	耐
72179	𪹇	GT	⿰	火	炭
72180	𪹈	T	⿰	火	昰
72182	𪹊	T	⿰	火	俞
72182	𪹊	K	⿰	火	兪
72183	𪹋	TK	⿰	火	禹
72184	𪹌	T	⿱	？	灳
72185	𪹍	K	⿰	火	侯
72187	𪹏	TV	⿰	火	美
72189	𪹑	T	⿰	召	炎
72191	𪹓	K	⿰	火	晋
72191	𪹓	Z	⿰	火	晉
72192	𪹔	K	⿰	火	珦
72193	𪹕	T	⿱	㫬	灬
72195	𪹗	T	⿰	舀	火
72196	𪹘	V	⿰	火	徐
72197	𪹙	K	⿰	火	般
72198	𪹚	TV	⿰	火	旁
72199	𪹛	T	⿰	火	朔
72200	𪹜	TV	⿰	火	庫
72202	𪹞	K	⿰	火	宰
72203	𪹟	V	⿰	火	𧴲
72204	𪹠	G	⿰	火	难
72205	𪹡	T	⿰	火	彬
72207	𪹣	V	⿰	火	虚
72207	𪹣	Z	⿰	火	虛
72208	𪹤	Z	⿰	火	殺
72209	𪹥	T	⿰	火	祭
72210	𪹦	T	⿱	畨	灬
72211	𪹧	TK	⿰	火	啇
72212	𪹨	K	⿰	火	庸
72214	𪹪	V	⿰	火	惡
72215	𪹫	G	⿰	火	彭
72216	𪹬	T	⿱	吅	𤇸
72217	𪹭	T	⿱	貼	灬
72218	𪹮	GT	⿱	毳	灬
72219	𪹯	K	⿰	火	集
72220	𪹰	V	⿰	炆	隹
72222	𪹲	K	⿰	焴	攵
72223	𪹳	GT	⿰	火	属
72224	𪹴	T	⿰	火	遀
72225	𪹵	K	⿰	火	楚
72226	𪹶	Z	⿱	暏	火
72227	𪹷	V	⿰	火	𱢒
72228	𪹸	T	⿱	鉢	灬
72229	𪹹	G	⿰	火	阘
72230	𪹺	K	⿰	火	煩
72231	𪹻	T	⿰	火	𣕡
72232	𪹼	T	⿰	火	𭧂
72233	𪹽	T	⿱	𤇾	奇
72234	𪹾	V	⿰	火	察
72235	𪹿	K	⿱	賓	灬
72236	𪺀	T	⿰	火	翠
72237	𪺁	T	⿰	火	賣
72238	𪺂	T	⿱	㯎	火
72239	𪺃	V	⿰	炮	堂
72240	𪺄	T	⿰	火	𫨀
72241	𪺅	K	⿰	火	憲
72243	𪺇	V	⿰	火	離
72244	𪺈	G	⿰	火	夒
72245	𪺉	K	⿰	火	獻
72249	𪺍	T	⿱	爫	？
72250	𪺎	T	⿰	爪	兄
72251	𪺏	G	⿱	爫	豕
72252	𪺐	J	⿺	爪	取
72253	𪺑	K	⿰	爪	長
72254	𪺒	T	⿱	爫	𡕥
72255	𪺓	V	⿰	爭	仃
72255	𪺓	Z	⿰	争	仃
72258	𪺖	V	⿰	爪	𡨴
72259	𪺗	T	⿰	爭	完
72259	𪺗	Z	⿰	争	完
72260	𪺘	V	⿰	争	貞
72260	𪺘	Z	⿰	爭	貞
72263	𪺛	GV	⿱	父	缶
72264	𪺜	T	⿱	父	即
72265	𪺝	G	⿱	爻	牛
72266	𪺞	G	⿰	爿	言
72267	𪺟	G	⿰	爿	甾
72268	𪺠	T	⿰	爿	悤
72270	𪺢	K	⿰	片	艮
72271	𪺣	G	⿰	片	寿
72272	𪺤	V	⿰	片	别
72272	𪺤	Z	⿰	片	別
72273	𪺥	T	⿰	片	念
72274	𪺦	V	⿰	片	腊
72275	𪺧	T	⿰	牙	夬
72276	𪺨	V	⿰	牙	卒
72277	𪺩	T	⿰	牜	乇
72278	𪺪	G	⿰	牜	龙
72279	𪺫	G	⿱	奶	牛
72280	𪺬	V	⿰	牜	旭
72281	𪺭	G	⿰	牜	乔
72283	𪺯	K	⿰	牜	炎
72284	𪺰	T	⿰	牜	盃
72285	𪺱	T	⿰	牜	冓
72288	𪺴	G	⿰	牜	𰥞
72289	𪺵	V	⿰	牜	悲
72290	𪺶	T	⿱	薛	牛
72291	𪺷	G	⿰	犭	仓
72292	𪺸	G	⿰	犭	刍
72293	𪺹	VU	⿰	犭	奴
72294	𪺺	G	⿰	犭	团
72295	𪺻	G	⿰	犭	农
72296	𪺼	T	⿰	犭	辰
72297	𪺽	G	⿰	来	犬
72298	𪺾	G	⿰	犭	厓
72299	𪺿	T	⿰	犭	門
72300	𪻀	G	⿰	犭	㦰
72301	𪻁	T	⿰	犭	並
72302	𪻂	T	⿰	犭	盾
72303	𪻃	V	⿰	犭	律
72304	𪻄	T	⿰	犭	美
72305	𪻅	G	⿰	犭	貟
72306	𪻆	T	⿰	犭	鬼
72307	𪻇	K	⿰	犭	𥎵
72308	𪻈	V	⿰	犭	強
72308	𪻈	Z	⿰	犭	强
72309	𪻉	V	⿰	犭	𮥷
72310	𪻊	V	⿰	猪	艮
72311	𪻋	V	⿰	犭	廚
72313	𪻍	T	⿰	𤣩	又
72314	𪻎	TK	⿰	𤣩	勻
72314	𪻎	Z	⿰	𤣩	匀
72315	𪻏	TK	⿰	𤣩	及
72316	𪻐	GU	⿰	𤣩	从
72317	𪻑	T	⿰	𤣩	亢
72318	𪻒	T	⿰	𤣩	心
72319	𪻓	T	⿰	𤣩	火
72320	𪻔	TK	⿰	𤣩	冘
72321	𪻕	GT	⿰	𤣩	古
72323	𪻗	T	⿰	𤣩	圶
72324	𪻘	TK	⿰	𤣩	亘
72325	𪻙	K	⿰	𤣩	式
72326	𪻚	T	⿰	𤣩	艾
72327	𪻛	T	⿰	𤣩	同
72328	𪻜	K	⿰	𤣩	休
72329	𪻝	T	⿰	𤣩	宇
72330	𪻞	GK	⿰	𤣩	亥
72332	𪻠	T	⿰	𤣩	弄
72333	𪻡	T	⿰	𤣩	豆
72334	𪻢	K	⿰	𤣩	折
72335	𪻣	K	⿰	𤣩	冏
72336	𪻤	T	⿰	𤣩	兵
72337	𪻥	K	⿰	𤣩	亨
72338	𪻦	T	⿰	𤣩	奈
72339	𪻧	T	⿰	𤣩	坴
72340	𪻨	G	⿰	𤣩	卖
72341	𪻩	K	⿰	𤣩	析
72342	𪻪	T	⿰	𤣩	明
72343	𪻫	T	⿰	𤣩	罔
72344	𪻬	T	⿰	𤣩	岳
72345	𪻭	T	⿰	𤣩	𭁴
72346	𪻮	T	⿰	𤣩	𤆦
72347	𪻯	K	⿰	𤣩	放
72348	𪻰	K	⿰	玧	攵
72349	𪻱	T	⿰	𤣩	函
72350	𪻲	G	⿰	𤣩	贯
72351	𪻳	GMT	⿰	𤣩	南
72352	𪻴	T	⿱	玨	㐱
72353	𪻵	M	⿰	𤣩	厘
72354	𪻶	K	⿰	𤣩	厚
72355	𪻷	T	⿰	𤣩	若
72356	𪻸	T	⿰	𤣩	苛
72357	𪻹	T	⿰	星	玉
72358	𪻺	G	⿰	𤣩	贵
72359	𪻻	K	⿰	𤣩	省
72360	𪻼	T	⿰	𤣩	𣐩
72361	𪻽	T	⿰	𤣩	客
72362	𪻾	TK	⿰	𤣩	彥
72362	𪻾	Z	⿰	𤣩	彦
72363	𪻿	T	⿰	𤣩	度
72364	𪼀	V	⿱	王	帝
72365	𪼁	K	⿰	𤣩	奕
72366	𪼂	K	⿰	𤤔	攵
72367	𪼃	TK	⿰	𤣩	泰
72368	𪼄	GT	⿰	𤣩	袁
72370	𪼆	K	⿰	𤣩	原
72371	𪼇	T	⿰	𤣩	峯
72372	𪼈	T	⿱	全	玨
72373	𪼉	T	⿱	合	玨
72374	𪼊	T	⿰	𤣩	徒
72375	𪼋	G	⿰	𤣩	笔
72376	𪼌	K	⿰	𤣩	隻
72378	𪼎	T	⿰	𤣩	羗
72379	𪼏	T	⿰	𤣩	桑
72380	𪼐	T	⿰	𤣩	爽
72381	𪼑	T	⿰	𤣩	堅
72382	𪼒	T	⿰	𤣩	莞
72383	𪼓	M	⿰	𤣩	國
72385	𪼕	T	⿰	𤣩	族
72386	𪼖	Z	⿰	𤣩	𡩟
72387	𪼗	T	⿰	𤣩	雯
72389	𪼙	K	⿰	𤣩	閏
72390	𪼚	K	⿰	𤣩	冕
72391	𪼛	K	⿰	𤣩	集
72392	𪼜	K	⿰	𤣩	翕
72393	𪼝	K	⿰	𤣩	就
72394	𪼞	K	⿰	𤣩	戠
72395	𪼟	KU	⿰	𤣩	犀
72396	𪼠	K	⿰	𤣩	發
72397	𪼡	T	⿰	𤣩	畺
72398	𪼢	T	⿰	𤣩	睪
72399	𪼣	TK	⿰	𤣩	奧
72399	𪼣	Z	⿰	𤣩	奥
72400	𪼤	TK	⿰	𤣩	詹
72401	𪼥	TK	⿰	𤣩	廉
72402	𪼦	T	⿰	𤣩	意
72403	𪼧	T	⿰	𤣩	蒼
72405	𪼩	K	⿰	𤣩	奭
72406	𪼪	J	⿰	𤣩	磐
72408	𪼬	T	⿰	𤣩	霖
72409	𪼭	K	⿰	𤣩	憲
72410	𪼮	T	⿰	𤣩	寰
72411	𪼯	Z	⿰	𤣩	𦏁
72412	𪼰	K	⿰	𤣩	擧
72413	𪼱	K	⿰	𤣩	贇
72414	𪼲	K	⿰	𤣩	黨
72415	𪼳	T	⿰	瓜	大
72416	𪼴	G	⿰	瓜	长
72418	𪼶	J	⿺	瓦	巳
72419	𪼷	J	⿺	瓦	王
72420	𪼸	J	⿺	瓦	火
72421	𪼹	J	⿺	瓦	本
72423	𪼻	Z	⿺	瓦	具
72424	𪼼	J	⿺	瓦	首
72425	𪼽	G	⿱	𠂹	瓦
72426	𪼾	K	⿱	郤	瓦
72427	𪼿	J	⿺	瓦	嬰
72428	𪽀	T	⿰	告	甘
72429	𪽁	V	⿰	生	卜
72430	𪽂	T	⿰	麦	生
72430	𪽂	Z	⿺	麦	生
72431	𪽃	V	⿰	生	奉
72432	𪽄	V	⿰	生	尚
72433	𪽅	V	⿰	底	生
72434	𪽆	T	⿱	㇒	𠂡
72435	𪽇	GM	⿰	田	九
72436	𪽈	G	⿰	田	𠃓
72438	𪽊	K	⿰	田	元
72439	𪽋	J	⿱	爫	田
72440	𪽌	T	⿰	田	文
72441	𪽍	T	⿱	田	可
72442	𪽎	K	⿰	田	可
72444	𪽐	V	⿱	甶	介
72446	𪽒	K	⿰	田	充
72447	𪽓	T	⿱	田	𫯞
72448	𪽔	K	⿰	田	見
72449	𪽕	V	⿰	包	男
72450	𪽖	V	⿱	那	田
72451	𪽗	V	⿱	尺	画
72452	𪽘	TJ	⿰	田	坴
72453	𪽙	T	⿰	田	奉
72454	𪽚	T	⿹	㦰	田
